item_id,product_category,bullet_point,item_keywords,item_name,product_type,brand,combined_text,text_id,price,rating,sponsor,small_business
B000S1DKLW,FURNITURE, rustic furniture ranch Strathwood leather sofa piece cosco Strathwood leather woven patio mid for set outdoor 4 resin clearance loveseat used sets back glider ottoman leather sunroom armless couches outside recliner 3866 american sofa modern decor conversation setee seats dual deer holders chairs conversational Strathwood french chair deck office love couch wicker lakewood porch acme , rustic furniture ranch Strathwood leather sofa piece cosco Strathwood leather woven patio mid for set outdoor 4 resin clearance loveseat used sets back glider ottoman leather sunroom armless couches outside recliner 3866 american sofa modern decor conversation setee seats dual deer holders chairs conversational Strathwood french chair deck office love couch wicker lakewood porch acme ,Strathwood Grosse Pointe Leather Loveseat Mahogany,SOFA,Strathwood by Amazon.com, rustic furniture ranch Strathwood leather sofa piece cosco Strathwood leather woven patio mid for set outdoor 4 resin clearance loveseat used sets back glider ottoman leather sunroom armless couches outside recliner 3866 american sofa modern decor conversation setee seats dual deer holders chairs conversational Strathwood french chair deck office love couch wicker lakewood porch acme  rustic furniture ranch Strathwood leather sofa piece cosco Strathwood leather woven patio mid for set outdoor 4 resin clearance loveseat used sets back glider ottoman leather sunroom armless couches outside recliner 3866 american sofa modern decor conversation setee seats dual deer holders chairs conversational Strathwood french chair deck office love couch wicker lakewood porch acme Strathwood Grosse Pointe Leather Loveseat Mahogany,text11,under 50,star 4-5,yes,no
B07KR9GKL1,FURNITURE,,,Ivory Swatch Ravenna Home,CHAIR,Ravenna Home,Ivory Swatch Ravenna Home,text12,under 50,star 4-5,yes,no
B0728NW87S,FURNITURE,,,Urban Living AMZ420099BLANCO Linon Living Room Chair,CHAIR,Urban Living,Urban Living AMZ420099BLANCO Linon Living Room Chair,text13,100-200,star 4-5,no,yes
B07KRBDWCQ,FURNITURE,,,Gunmetal Swatch Ravenna Home,SOFA,Ravenna Home,Gunmetal Swatch Ravenna Home,text14,500-1000,star 4-5,no,no
B086GM9TTD,FURNITURE, low llr81100 lumbar cheap midback pain stool small room sillas oficina conference clearance amazon secretary student arms study armless lorell w metal best drafting desk sewing gaming modern computer de no chairs basics without executive ergonomic white task h03 , low llr81100 lumbar cheap midback pain stool small room sillas oficina conference clearance amazon secretary student arms study armless lorell w metal best drafting desk sewing gaming modern computer de no chairs basics without executive ergonomic white task h03 ,AmazonBasics Silla de malla con respaldo medio con asiento de malla contorneado para mayor transpirabilidad renovado Pl stico Negro,CHAIR,AmazonBasics, low llr81100 lumbar cheap midback pain stool small room sillas oficina conference clearance amazon secretary student arms study armless lorell w metal best drafting desk sewing gaming modern computer de no chairs basics without executive ergonomic white task h03  low llr81100 lumbar cheap midback pain stool small room sillas oficina conference clearance amazon secretary student arms study armless lorell w metal best drafting desk sewing gaming modern computer de no chairs basics without executive ergonomic white task h03 AmazonBasics Silla de malla con respaldo medio con asiento de malla contorneado para mayor transpirabilidad renovado Pl stico Negro,text15,500-1000,star 3-4,yes,no
B07HSMYNYF,FURNITURE, drop house rustic furniture low antique dining small style mid for nightstand country set rattan stand clearance end sets entertainment farmhouse korean sauder tables fireplace tv living mirror slatestone japanese storage de and chairs crystal folding console large furnishings game bamboo , drop house rustic furniture low antique dining small style mid for nightstand country set rattan stand clearance end sets entertainment farmhouse korean sauder tables fireplace tv living mirror slatestone japanese storage de and chairs crystal folding console large furnishings game bamboo ,Stone Beam Rylee Modern Coffee Table 19 69 H Mixed Gray,TABLE,Stone & Beam, drop house rustic furniture low antique dining small style mid for nightstand country set rattan stand clearance end sets entertainment farmhouse korean sauder tables fireplace tv living mirror slatestone japanese storage de and chairs crystal folding console large furnishings game bamboo  drop house rustic furniture low antique dining small style mid for nightstand country set rattan stand clearance end sets entertainment farmhouse korean sauder tables fireplace tv living mirror slatestone japanese storage de and chairs crystal folding console large furnishings game bamboo Stone Beam Rylee Modern Coffee Table 19 69 H Mixed Gray,text16,500-1000,star 4-5,yes,no
B07QGWQM5D,FURNITURE, rustic furniture black para leg mid knight century country rattan kitchen side sets farmhouse faux signature microfiber mestler table leather living lucite dinning ladderback by acrylic ashley comedor modern decor de iconic gratien chair folding bench teal saint gray white eames ghost armen , rustic furniture black para leg mid knight century country rattan kitchen side sets farmhouse faux signature microfiber mestler table leather living lucite dinning ladderback by acrylic ashley comedor modern decor de iconic gratien chair folding bench teal saint gray white eames ghost armen ,Rivet Mid Century Luxe Velvet Dining Chair 34 1 H Set of 2 Dark Green,CHAIR,Rivet, rustic furniture black para leg mid knight century country rattan kitchen side sets farmhouse faux signature microfiber mestler table leather living lucite dinning ladderback by acrylic ashley comedor modern decor de iconic gratien chair folding bench teal saint gray white eames ghost armen  rustic furniture black para leg mid knight century country rattan kitchen side sets farmhouse faux signature microfiber mestler table leather living lucite dinning ladderback by acrylic ashley comedor modern decor de iconic gratien chair folding bench teal saint gray white eames ghost armen Rivet Mid Century Luxe Velvet Dining Chair 34 1 H Set of 2 Dark Green,text17,500-1000,star 4-5,no,no
B00EUL2B16,FURNITURE, rustic dining antique cottage curved room wood small patio mid swivel desks century rolling urbanology kitchen wooden stackable side upholstery vintage dark elegant lounge metal padded table leather traditional tufted stools barstool upholstered dinning padding desk modern bistro vanity covers chairs chair fabric oak cushions benches wingback aluminum inch high accent industrial dinner contemporary , rustic dining antique cottage curved room wood small patio mid swivel desks century rolling urbanology kitchen wooden stackable side upholstery vintage dark elegant lounge metal padded table leather traditional tufted stools barstool upholstered dinning padding desk modern bistro vanity covers chairs chair fabric oak cushions benches wingback aluminum inch high accent industrial dinner contemporary ,Ashley Furniture Signature Design Leahlyn Dining Upholstered Side Chair Pierced Splat Back Set of 2 Medium Brown,CHAIR,Signature Design by Ashley, rustic dining antique cottage curved room wood small patio mid swivel desks century rolling urbanology kitchen wooden stackable side upholstery vintage dark elegant lounge metal padded table leather traditional tufted stools barstool upholstered dinning padding desk modern bistro vanity covers chairs chair fabric oak cushions benches wingback aluminum inch high accent industrial dinner contemporary  rustic dining antique cottage curved room wood small patio mid swivel desks century rolling urbanology kitchen wooden stackable side upholstery vintage dark elegant lounge metal padded table leather traditional tufted stools barstool upholstered dinning padding desk modern bistro vanity covers chairs chair fabric oak cushions benches wingback aluminum inch high accent industrial dinner contemporary Ashley Furniture Signature Design Leahlyn Dining Upholstered Side Chair Pierced Splat Back Set of 2 Medium Brown,text18,200-500,star 4-5,yes,yes
B073G7DN31,FURNITURE, furniture room small patio studio swivel mid for butterfly stone set yard yellow farmhouse sleep back tables glider beam popular living armless pair perfect deal armchair best egg 2 recliner baxton kieran modern dome on gdf and royalty chairs decorative chair of navy accent office zero white 610 , furniture room small patio studio swivel mid for butterfly stone set yard yellow farmhouse sleep back tables glider beam popular living armless pair perfect deal armchair best egg 2 recliner baxton kieran modern dome on gdf and royalty chairs decorative chair of navy accent office zero white 610 ,PB5605VLVBR,CHAIR,Stone & Beam, furniture room small patio studio swivel mid for butterfly stone set yard yellow farmhouse sleep back tables glider beam popular living armless pair perfect deal armchair best egg 2 recliner baxton kieran modern dome on gdf and royalty chairs decorative chair of navy accent office zero white 610  furniture room small patio studio swivel mid for butterfly stone set yard yellow farmhouse sleep back tables glider beam popular living armless pair perfect deal armchair best egg 2 recliner baxton kieran modern dome on gdf and royalty chairs decorative chair of navy accent office zero white 610 PB5605VLVBR,text19,500-1000,star 4-5,no,no
B07QL9RTFQ,FURNITURE, furniture Pneumatic black chair Task lock home low back Swivel basyx Tilt desk office VL210 ergonomic Light duty tension mesh , furniture Pneumatic black chair Task lock home low back Swivel basyx Tilt desk office VL210 ergonomic Light duty tension mesh ,AmazonBasics Silla de trabajo con ruedas giratorias color negro renovada ,CHAIR,AmazonBasics, furniture Pneumatic black chair Task lock home low back Swivel basyx Tilt desk office VL210 ergonomic Light duty tension mesh  furniture Pneumatic black chair Task lock home low back Swivel basyx Tilt desk office VL210 ergonomic Light duty tension mesh AmazonBasics Silla de trabajo con ruedas giratorias color negro renovada ,text20,100-200,star 3-4,no,no
B07HSBJ1Q4,FURNITURE, rustic low furniture 24 black para barra design counter angel inches swivel bancos cambridge barstools set 24 products farmhouse auto backs signature table barstool line tractor 2 by ashley creepers decor height saddle de tools stools chairs island 3 creeper chair of tall gray white high inch , rustic low furniture 24 black para barra design counter angel inches swivel bancos cambridge barstools set 24 products farmhouse auto backs signature table barstool line tractor 2 by ashley creepers decor height saddle de tools stools chairs island 3 creeper chair of tall gray white high inch ,Stone Beam Hartford Taburete de barra para cocina estilo vaquero moderno 40 5 in de alto color gris paloma,STOOL_SEATING,Stone & Beam, rustic low furniture 24 black para barra design counter angel inches swivel bancos cambridge barstools set 24 products farmhouse auto backs signature table barstool line tractor 2 by ashley creepers decor height saddle de tools stools chairs island 3 creeper chair of tall gray white high inch  rustic low furniture 24 black para barra design counter angel inches swivel bancos cambridge barstools set 24 products farmhouse auto backs signature table barstool line tractor 2 by ashley creepers decor height saddle de tools stools chairs island 3 creeper chair of tall gray white high inch Stone Beam Hartford Taburete de barra para cocina estilo vaquero moderno 40 5 in de alto color gris paloma,text21,100-200,star 3-4,no,no
B082VL7BQ1,FURNITURE, furniture black elderly electric room prime studio swivel sale man set clearance heat farmhouse glider reclining wall tufted boy straight egg 2 recliner hugger lazy baxton ashley kieran modern lift on big catnapper blue gdf massage chairs of navy power couch recliners high yandel , furniture black elderly electric room prime studio swivel sale man set clearance heat farmhouse glider reclining wall tufted boy straight egg 2 recliner hugger lazy baxton ashley kieran modern lift on big catnapper blue gdf massage chairs of navy power couch recliners high yandel ,Marca Amazon Stone Beam Westview Silla de piel con relleno extra profundo 43 3 pulgadas de ancho color gris oscuro,CHAIR,Stone & Beam, furniture black elderly electric room prime studio swivel sale man set clearance heat farmhouse glider reclining wall tufted boy straight egg 2 recliner hugger lazy baxton ashley kieran modern lift on big catnapper blue gdf massage chairs of navy power couch recliners high yandel  furniture black elderly electric room prime studio swivel sale man set clearance heat farmhouse glider reclining wall tufted boy straight egg 2 recliner hugger lazy baxton ashley kieran modern lift on big catnapper blue gdf massage chairs of navy power couch recliners high yandel Marca Amazon Stone Beam Westview Silla de piel con relleno extra profundo 43 3 pulgadas de ancho color gris oscuro,text22,500-1000,star 3-4,no,no
B07KR85FMX,FURNITURE,,,Light Grey Swatch Ravenna Home,CHAIR,Ravenna Home,Light Grey Swatch Ravenna Home,text23,under 50,star 4-5,no,no
B07H2HGZLK,FURNITURE, ottoman with storage storage bench ottomans hue bulb pouf ottoman philips hue bench round ottoman foot stool phillips hue bulbs stool for feet ottoman foot rest pouf ottoman philips hue bulb foot massager ottoman bench storage ottoman , ottoman with storage storage bench ottomans hue bulb pouf ottoman philips hue bench round ottoman foot stool phillips hue bulbs stool for feet ottoman foot rest pouf ottoman philips hue bulb foot massager ottoman bench storage ottoman ,Red Hook Meknes Storage Ottoman Bench with Fabric Upholstery 48 x 17 x 16 Inches Almond,OTTOMAN,Red Hook, ottoman with storage storage bench ottomans hue bulb pouf ottoman philips hue bench round ottoman foot stool phillips hue bulbs stool for feet ottoman foot rest pouf ottoman philips hue bulb foot massager ottoman bench storage ottoman  ottoman with storage storage bench ottomans hue bulb pouf ottoman philips hue bench round ottoman foot stool phillips hue bulbs stool for feet ottoman foot rest pouf ottoman philips hue bulb foot massager ottoman bench storage ottoman Red Hook Meknes Storage Ottoman Bench with Fabric Upholstery 48 x 17 x 16 Inches Almond,text24,100-200,star 4-5,no,yes
B01N3MBCKT,FURNITURE, sidetable living room collection endtable carver collection nitghstand Mercury row night stand , sidetable living room collection endtable carver collection nitghstand Mercury row night stand ,Ameriwood Home Carver End Table Gray Sonoma Oak,TABLE,Ameriwood Home, sidetable living room collection endtable carver collection nitghstand Mercury row night stand  sidetable living room collection endtable carver collection nitghstand Mercury row night stand Ameriwood Home Carver End Table Gray Sonoma Oak,text25,200-500,star 3-4,yes,yes
B07L87VDGF,FURNITURE, lodge furniture room modway mid for stone century set with sofas hallstrung sets beam reclining tuxedo living leather sleeper recliner sectionals modern blue chesterfield and sierra sectional power couch gray white , lodge furniture room modway mid for stone century set with sofas hallstrung sets beam reclining tuxedo living leather sleeper recliner sectionals modern blue chesterfield and sierra sectional power couch gray white ,Rivet Polyester Grey Sofa,SOFA,Rivet, lodge furniture room modway mid for stone century set with sofas hallstrung sets beam reclining tuxedo living leather sleeper recliner sectionals modern blue chesterfield and sierra sectional power couch gray white  lodge furniture room modway mid for stone century set with sofas hallstrung sets beam reclining tuxedo living leather sleeper recliner sectionals modern blue chesterfield and sierra sectional power couch gray white Rivet Polyester Grey Sofa,text26,200-500,star 4-5,yes,no
B07KR9C1N8,FURNITURE,,,Beige Swatch Ravenna Home,CHAIR,Ravenna Home,Beige Swatch Ravenna Home,text27,under 50,star 3-4,yes,no
B072JG3WR5,FURNITURE,,,Urban Living AMZ420100FLAX Linon Living Room Chair,CHAIR,Urban Living,Urban Living AMZ420100FLAX Linon Living Room Chair,text28,500-1000,star 2-3,no,yes
B07D4FS7GY,FURNITURE, ottoman with storage ottomans small ottoman storage bench pouf ottoman round ottoman grey ottoman foot stool foot stools and ottomans foot ottoman small ottomans ottoman foot rest rectangular ottoman pouf ottoman storage ottoman small bench , ottoman with storage ottomans small ottoman storage bench pouf ottoman round ottoman grey ottoman foot stool foot stools and ottomans foot ottoman small ottomans ottoman foot rest rectangular ottoman pouf ottoman storage ottoman small bench ,Red Hook Leda Rectangular Upholstered Ottoman Bench 27 x 14 5 x 18 5 Inches Stone Grey,OTTOMAN,Red Hook, ottoman with storage ottomans small ottoman storage bench pouf ottoman round ottoman grey ottoman foot stool foot stools and ottomans foot ottoman small ottomans ottoman foot rest rectangular ottoman pouf ottoman storage ottoman small bench  ottoman with storage ottomans small ottoman storage bench pouf ottoman round ottoman grey ottoman foot stool foot stools and ottomans foot ottoman small ottomans ottoman foot rest rectangular ottoman pouf ottoman storage ottoman small bench Red Hook Leda Rectangular Upholstered Ottoman Bench 27 x 14 5 x 18 5 Inches Stone Grey,text29,200-500,star 3-4,yes,yes
B001CZJGAW,FURNITURE, furniture ranch piece curved cosco woven small patio mid in set turquoise clearance resin bed yellow used sets glider living sunroom armless restoration couches outside green falkner sofa modern decor conversation setee on chairs conversational loveseats chair bench sectional deck StrathFalknerCollection office love couch wicker lakewood porch , furniture ranch piece curved cosco woven small patio mid in set turquoise clearance resin bed yellow used sets glider living sunroom armless restoration couches outside green falkner sofa modern decor conversation setee on chairs conversational loveseats chair bench sectional deck StrathFalknerCollection office love couch wicker lakewood porch ,Strathwood Falkner Sektionaltor linken Arm Liebesschaukel mit Kissen,SOFA,Strathwood by Amazon.com, furniture ranch piece curved cosco woven small patio mid in set turquoise clearance resin bed yellow used sets glider living sunroom armless restoration couches outside green falkner sofa modern decor conversation setee on chairs conversational loveseats chair bench sectional deck StrathFalknerCollection office love couch wicker lakewood porch  furniture ranch piece curved cosco woven small patio mid in set turquoise clearance resin bed yellow used sets glider living sunroom armless restoration couches outside green falkner sofa modern decor conversation setee on chairs conversational loveseats chair bench sectional deck StrathFalknerCollection office love couch wicker lakewood porch Strathwood Falkner Sektionaltor linken Arm Liebesschaukel mit Kissen,text30,100-200,star 4-5,no,no
B085FJW92H,FURNITURE,,,Ravenna Home Alpine Upholstered High Leg Recliner Chair 39 W Steel Blue,CHAIR,Ravenna Home,Ravenna Home Alpine Upholstered High Leg Recliner Chair 39 W Steel Blue,text31,200-500,star 4-5,no,no
B087ZFFSZB,FURNITURE, ergo lumbar pain rests herman with serta kitchen clearance hon arm amazon pc arms lower task reclining steelcase miller deal thick cushion rollerblade adjustable best home the aeron gaming reclines wheels big head mesh chairs basics of tall duramont ergonomic high , ergo lumbar pain rests herman with serta kitchen clearance hon arm amazon pc arms lower task reclining steelcase miller deal thick cushion rollerblade adjustable best home the aeron gaming reclines wheels big head mesh chairs basics of tall duramont ergonomic high ,AmazonBasics High Back Bonded Leather Executive Office Computer Desk Chair Black Renewed ,CHAIR,AmazonBasics, ergo lumbar pain rests herman with serta kitchen clearance hon arm amazon pc arms lower task reclining steelcase miller deal thick cushion rollerblade adjustable best home the aeron gaming reclines wheels big head mesh chairs basics of tall duramont ergonomic high  ergo lumbar pain rests herman with serta kitchen clearance hon arm amazon pc arms lower task reclining steelcase miller deal thick cushion rollerblade adjustable best home the aeron gaming reclines wheels big head mesh chairs basics of tall duramont ergonomic high AmazonBasics High Back Bonded Leather Executive Office Computer Desk Chair Black Renewed ,text32,under 50,star 4-5,no,no
B07KRB8H9Z,FURNITURE,,,Light Grey Swatch Ravenna Home,CHAIR,Ravenna Home,Light Grey Swatch Ravenna Home,text33,500-1000,star 4-5,yes,no
